SalesID,CustID,PaymentMethod,Payment Date,PaymentID,PaymentAmount,LoanID,Bank Name
SO230101,18323,BankTransfer,01-01-2023,P10085,177500,,ICICI
SO230102,18322,DebitCard,01-01-2023,P10086,109500,,Andhra Bank
SO230103,18018,UPI,01-01-2023,P10087,24135,LDC2003,Andhra Bank
SO230104,23608,UPI,01-01-2023,P10088,59100,LDC2004,Andhra Bank
SO230105,18924,AutoDebitEMI,01-01-2023,P10089,20850,LDC2005,Canara Bank
SO230106,20600,DebitCard,01-01-2023,P10090,286500,,Andhra Bank
SO230107,24677,AutoDebitEMI,01-01-2023,P10091,23244.3,LDC2007,Axis
SO230108,19150,Cash,01-01-2023,P10092,132500,,NetCash
SO230109,24946,CreditCard,01-01-2023,P10093,19200,LDC2009,HDFC
SO230110,18075,BankTransferEMI,01-01-2023,P10094,24150,LDC2010,Canara Bank
SO230111,20248,DebitCard,01-01-2023,P10095,92800,,ICICI
SO230112,22763,BankTransfer,01-01-2023,P10096,182000,,Andhra Bank
SO230113,20691,AutoDebitEMI,01-01-2023,P10097,20850,LDC2013,Axis
SO230114,18174,Cash,01-01-2023,P10098,10077,,NetCash
SO230115,18355,CreditCard,01-01-2023,P10099,54450,LDC2015,Canara Bank
SO230116,21764,BankTransfer,01-01-2023,P10100,76500,,Andhra Bank
SO230117,19796,BankTransfer,01-01-2023,P10101,78500,,Axis
SO230118,19811,Cash,01-01-2023,P10102,92000,,NetCash
SO230119,24139,CreditCard,01-01-2023,P10103,39071.4,LDC2019,Axis
SO230120,21805,BankTransferEMI,01-01-2023,P10104,69300,LDC2020,Andhra Bank
SO230121,20206,BankTransfer,01-01-2023,P10105,124500,,Axis
SO230122,21072,BankTransferEMI,01-01-2023,P10106,21750,LDC2022,HDFC
SO230123,23036,DebitCard,01-01-2023,P10107,77981,,ICICI
SO230124,19491,UPI,01-01-2023,P10108,44100,LDC2024,ICICI
SO230125,24213,DebitCard,01-01-2023,P10109,77000,,HDFC
SO230126,22219,UPI,01-01-2023,P10110,29400,LDC2026,HDFC
SO230127,20179,Cash,01-01-2023,P10111,134500,,NetCash
SO230128,20961,CreditCard,02-01-2023,P10112,17592,LDC2028,HDFC
SO230129,23714,AutoDebitEMI,02-01-2023,P10113,33199.5,LDC2029,Andhra Bank
SO230130,19280,CreditCard,02-01-2023,P10114,32100,LDC2030,ICICI
SO230131,22580,UPI,02-01-2023,P10115,61950,LDC2031,ICICI
SO230132,22511,UPI,02-01-2023,P10116,20550,LDC2032,HDFC
SO230133,20804,BankTransfer,02-01-2023,P10117,81500,,Axis
SO230134,21265,Cash,02-01-2023,P10118,114500,,NetCash
SO230135,19121,BankTransfer,02-01-2023,P10119,226000,,Andhra Bank
SO230136,18247,DebitCard,02-01-2023,P10120,93000,,ICICI
SO230137,20148,BankTransfer,02-01-2023,P10121,104904,,Axis
SO230138,20828,UPI,02-01-2023,P10122,37350,LDC2038,Axis
SO230139,24724,CreditCard,02-01-2023,P10123,37350,LDC2039,Canara Bank
SO230140,24416,BankTransferEMI,02-01-2023,P10124,23085,LDC2040,Axis
SO230141,19614,BankTransfer,02-01-2023,P10125,77500,,Canara Bank
SO230142,21364,Cash,02-01-2023,P10126,76450,,NetCash
SO230143,24934,AutoDebitEMI,02-01-2023,P10127,33000,LDC2043,Andhra Bank
SO230144,19624,CreditCard,02-01-2023,P10128,32340.6,LDC2044,Canara Bank
SO230145,18092,BankTransferEMI,02-01-2023,P10129,47100,LDC2045,ICICI
SO230146,18164,CreditCard,02-01-2023,P10130,23250,LDC2046,Axis
SO230147,22397,Cash,02-01-2023,P10131,129738,,NetCash
SO230148,20650,DebitCard,02-01-2023,P10132,98490,,ICICI
SO230149,19043,AutoDebitEMI,02-01-2023,P10133,21000,LDC2049,Axis
SO230150,24341,DebitCard,02-01-2023,P10134,157500,,HDFC
SO230151,23985,Cash,02-01-2023,P10135,197500,,NetCash
SO230152,24723,DebitCard,02-01-2023,P10136,68470,,Canara Bank
SO230153,19741,BankTransferEMI,02-01-2023,P10137,32250,LDC2053,Axis
SO230154,22119,BankTransfer,02-01-2023,P10138,306500,,Andhra Bank
SO230155,23208,BankTransfer,02-01-2023,P10139,67740,,ICICI
SO230156,18420,UPI,03-01-2023,P10140,82950,LDC2056,Canara Bank
SO230157,23507,BankTransfer,03-01-2023,P10141,9077,,Axis
SO230158,20150,AutoDebitEMI,03-01-2023,P10142,20550,LDC2058,Canara Bank
SO230159,23755,BankTransfer,03-01-2023,P10143,73480,,HDFC
SO230160,19398,AutoDebitEMI,03-01-2023,P10144,13350,LDC2060,Canara Bank
SO230161,24226,UPI,03-01-2023,P10145,21600,LDC2061,HDFC
SO230162,21546,CreditCard,03-01-2023,P10146,25527,LDC2062,Canara Bank
SO230163,19091,UPI,03-01-2023,P10147,32100,LDC2063,Andhra Bank
SO230164,24482,Cash,03-01-2023,P10148,68970,,NetCash
SO230165,24582,BankTransferEMI,03-01-2023,P10149,57150,LDC2065,ICICI
SO230166,24174,CreditCard,03-01-2023,P10150,54750,LDC2066,ICICI
SO230167,23658,AutoDebitEMI,03-01-2023,P10151,43350,LDC2067,Andhra Bank
SO230168,20489,UPI,03-01-2023,P10152,16200,LDC2068,Andhra Bank
SO230169,23134,AutoDebitEMI,03-01-2023,P10153,14884.2,LDC2069,ICICI
SO230170,24613,UPI,03-01-2023,P10154,20699.7,LDC2070,ICICI
SO230171,21852,BankTransfer,03-01-2023,P10155,77000,,HDFC
SO230172,22374,UPI,03-01-2023,P10156,23099.7,LDC2072,ICICI
SO230173,21052,UPI,03-01-2023,P10157,15958.8,LDC2073,Axis
SO230174,21182,CreditCard,03-01-2023,P10158,24285,LDC2074,HDFC
SO230175,19516,BankTransferEMI,03-01-2023,P10159,20550,LDC2075,Canara Bank
SO230176,22579,BankTransferEMI,03-01-2023,P10160,50850,LDC2076,Andhra Bank
SO230177,19137,CreditCard,03-01-2023,P10161,20322,LDC2077,HDFC
SO230178,23837,Cash,03-01-2023,P10162,110500,,NetCash
SO230179,21523,BankTransferEMI,03-01-2023,P10163,20541,LDC2079,Canara Bank
SO230180,18349,BankTransferEMI,03-01-2023,P10164,21000,LDC2080,Canara Bank
SO230181,21528,Cash,03-01-2023,P10165,96070,,NetCash
SO230182,22652,DebitCard,03-01-2023,P10166,63000,,Andhra Bank
SO230183,19978,BankTransfer,03-01-2023,P10167,73500,,Canara Bank
SO230184,22860,Cash,04-01-2023,P10168,83500,,NetCash
SO230185,24180,BankTransfer,04-01-2023,P10169,74500,,Andhra Bank
SO230186,24811,DebitCard,04-01-2023,P10170,74500,,Canara Bank
SO230187,21749,UPI,04-01-2023,P10171,34800,LDC2087,Canara Bank
SO230188,22407,DebitCard,04-01-2023,P10172,98500,,Andhra Bank
SO230189,19791,BankTransfer,04-01-2023,P10173,53196,,Canara Bank
SO230190,18123,UPI,04-01-2023,P10174,54471,LDC2090,HDFC
SO230191,24726,CreditCard,04-01-2023,P10175,59100,LDC2091,Axis
SO230192,24417,UPI,04-01-2023,P10176,21450,LDC2092,Axis
SO230193,18169,UPI,04-01-2023,P10177,36600,LDC2093,Canara Bank
SO230194,23243,BankTransferEMI,04-01-2023,P10178,23550,LDC2094,Andhra Bank
SO230195,20610,UPI,04-01-2023,P10179,41113.8,LDC2095,Canara Bank
SO230196,20017,UPI,04-01-2023,P10180,16719.6,LDC2096,Andhra Bank
SO230197,20140,CreditCard,04-01-2023,P10181,23100,LDC2097,Canara Bank
SO230198,22672,CreditCard,04-01-2023,P10182,24000,LDC2098,Andhra Bank
SO230199,18892,UPI,04-01-2023,P10183,21000,LDC2099,Axis
SO230200,21119,AutoDebitEMI,04-01-2023,P10184,39071.4,LDC2100,ICICI
SO230201,20155,AutoDebitEMI,04-01-2023,P10185,43350,LDC2101,Andhra Bank
SO230202,24511,DebitCard,04-01-2023,P10186,78000,,Axis
SO230203,23423,AutoDebitEMI,04-01-2023,P10187,34596.3,LDC2103,Axis
SO230204,22775,CreditCard,04-01-2023,P10188,34200,LDC2104,Andhra Bank
SO230205,21018,UPI,04-01-2023,P10189,23400,LDC2105,ICICI
SO230206,20547,DebitCard,04-01-2023,P10190,54000,,ICICI
SO230207,20287,BankTransferEMI,04-01-2023,P10191,20472,LDC2107,Andhra Bank
SO230208,21577,AutoDebitEMI,04-01-2023,P10192,27600,LDC2108,HDFC
SO230209,21226,BankTransfer,04-01-2023,P10193,64000,,HDFC
SO230210,19108,CreditCard,04-01-2023,P10194,29025,LDC2110,ICICI
SO230211,18837,AutoDebitEMI,04-01-2023,P10195,21600,LDC2111,ICICI
SO230212,22955,BankTransferEMI,05-01-2023,P10196,19002,LDC2112,Axis
SO230213,20321,BankTransfer,05-01-2023,P10197,92800,,Canara Bank
SO230214,20545,BankTransferEMI,05-01-2023,P10198,44100,LDC2114,Andhra Bank
SO230215,23843,BankTransferEMI,05-01-2023,P10199,16605.6,LDC2115,Axis
SO230216,19518,UPI,05-01-2023,P10200,84300,LDC2116,Andhra Bank
SO230217,21058,CreditCard,05-01-2023,P10201,25377,LDC2117,Axis
SO230218,22025,UPI,05-01-2023,P10202,47833.5,LDC2118,Andhra Bank
SO230219,21220,BankTransferEMI,05-01-2023,P10203,29050.5,LDC2119,Canara Bank
SO230220,23131,CreditCard,05-01-2023,P10204,21900,LDC2120,Canara Bank
SO230221,20653,AutoDebitEMI,05-01-2023,P10205,20715,LDC2121,ICICI
SO230222,22333,UPI,05-01-2023,P10206,91800,LDC2122,Axis
SO230223,23422,AutoDebitEMI,05-01-2023,P10207,14884.2,LDC2123,Andhra Bank
SO230224,24189,DebitCard,05-01-2023,P10208,68240,,Axis
SO230225,19072,BankTransferEMI,05-01-2023,P10209,47100,LDC2125,ICICI
SO230226,22522,UPI,05-01-2023,P10210,54870,LDC2126,Andhra Bank
SO230227,23147,CreditCard,05-01-2023,P10211,20322,LDC2127,Axis
SO230228,19365,CreditCard,05-01-2023,P10212,56850,LDC2128,ICICI
SO230229,19236,CreditCard,05-01-2023,P10213,44100,LDC2129,HDFC
SO230230,20023,Cash,05-01-2023,P10214,68000,,NetCash
SO230231,24534,UPI,05-01-2023,P10215,34746.3,LDC2131,Andhra Bank
SO230232,23663,BankTransfer,05-01-2023,P10216,93500,,Andhra Bank
SO230233,24311,BankTransferEMI,05-01-2023,P10217,33653.7,LDC2133,ICICI
SO230234,23258,DebitCard,05-01-2023,P10218,69000,,Andhra Bank
SO230235,24680,CreditCard,05-01-2023,P10219,15808.8,LDC2135,ICICI
SO230236,18227,AutoDebitEMI,05-01-2023,P10220,33600,LDC2136,Axis
SO230237,23290,AutoDebitEMI,05-01-2023,P10221,20322,LDC2137,HDFC
SO230238,20062,BankTransfer,05-01-2023,P10222,112679,,Canara Bank
SO230239,21507,Cash,05-01-2023,P10223,68500,,NetCash
SO230240,24195,Cash,06-01-2023,P10224,97250,,NetCash
SO230241,21808,DebitCard,06-01-2023,P10225,98000,,HDFC
SO230242,22911,CreditCard,06-01-2023,P10226,23100,LDC2142,HDFC
SO230243,20434,Cash,06-01-2023,P10227,73500,,NetCash
SO230244,19331,DebitCard,06-01-2023,P10228,69000,,Canara Bank
SO230245,18003,Cash,06-01-2023,P10229,74000,,NetCash
SO230246,20176,BankTransfer,06-01-2023,P10230,157000,,Andhra Bank
SO230247,18913,DebitCard,06-01-2023,P10231,206000,,ICICI
SO230248,18055,BankTransfer,06-01-2023,P10232,78500,,HDFC
SO230249,19808,UPI,06-01-2023,P10233,23244.3,LDC2149,Andhra Bank
SO230250,18173,AutoDebitEMI,06-01-2023,P10234,27637.5,LDC2150,HDFC
SO230251,18122,BankTransferEMI,06-01-2023,P10235,82800,LDC2151,Axis
SO230252,21294,BankTransfer,06-01-2023,P10236,43804,,Andhra Bank
SO230253,24693,CreditCard,06-01-2023,P10237,22044,LDC2153,ICICI
SO230254,19081,AutoDebitEMI,06-01-2023,P10238,24825,LDC2154,ICICI
SO230255,24684,Cash,06-01-2023,P10239,177500,,NetCash
SO230256,22659,UPI,06-01-2023,P10240,23085,LDC2156,Axis
SO230257,21507,CreditCard,06-01-2023,P10241,19200,LDC2157,Axis
SO230258,23719,BankTransferEMI,06-01-2023,P10242,33653.7,LDC2158,HDFC
SO230259,20268,DebitCard,06-01-2023,P10243,124150,,HDFC
SO230260,22005,CreditCard,06-01-2023,P10244,19002,LDC2160,Andhra Bank
SO230261,19411,BankTransfer,06-01-2023,P10245,91144,,Andhra Bank
SO230262,23204,Cash,06-01-2023,P10246,206500,,NetCash
SO230263,24942,BankTransferEMI,06-01-2023,P10247,13200,LDC2163,Axis
SO230264,19386,UPI,06-01-2023,P10248,21000,LDC2164,Axis
SO230265,24384,DebitCard,06-01-2023,P10249,276500,,ICICI
SO230266,21688,BankTransfer,06-01-2023,P10250,226500,,HDFC
SO230267,18099,BankTransferEMI,06-01-2023,P10251,61800,LDC2167,Andhra Bank
SO230268,18073,BankTransfer,07-01-2023,P10252,109000,,Canara Bank
SO230269,21456,DebitCard,07-01-2023,P10253,43304,,Canara Bank
SO230270,23821,DebitCard,07-01-2023,P10254,73000,,Andhra Bank
SO230271,20512,AutoDebitEMI,07-01-2023,P10255,23099.7,LDC2171,Canara Bank
SO230272,19367,Cash,07-01-2023,P10256,83000,,NetCash
SO230273,21578,Cash,07-01-2023,P10257,83500,,NetCash
SO230274,20985,Cash,07-01-2023,P10258,70000,,NetCash
SO230275,23885,UPI,07-01-2023,P10259,20706,LDC2175,Andhra Bank
SO230276,23739,AutoDebitEMI,07-01-2023,P10260,23100,LDC2176,Canara Bank
SO230277,22223,CreditCard,07-01-2023,P10261,24749.7,LDC2177,Axis
SO230278,18757,AutoDebitEMI,07-01-2023,P10262,47983.5,LDC2178,Andhra Bank
SO230279,18982,BankTransferEMI,07-01-2023,P10263,23250,LDC2179,Andhra Bank
SO230280,24724,BankTransferEMI,07-01-2023,P10264,16869.6,LDC2180,HDFC
SO230281,22284,AutoDebitEMI,07-01-2023,P10265,37095,LDC2181,HDFC
SO230282,18854,BankTransferEMI,07-01-2023,P10266,54720,LDC2182,Axis
SO230283,20584,CreditCard,07-01-2023,P10267,23244.3,LDC2183,Andhra Bank
SO230284,19413,UPI,07-01-2023,P10268,32250,LDC2184,Axis
SO230285,21058,DebitCard,07-01-2023,P10269,72000,,HDFC
SO230286,18331,Cash,07-01-2023,P10270,122000,,NetCash
SO230287,20291,Cash,07-01-2023,P10271,197500,,NetCash
SO230288,18858,DebitCard,07-01-2023,P10272,73500,,Andhra Bank
SO230289,22306,DebitCard,07-01-2023,P10273,61690,,Axis
SO230290,18092,UPI,07-01-2023,P10274,56100,LDC2190,Andhra Bank
SO230291,18854,DebitCard,07-01-2023,P10275,194840,,Axis
SO230292,21142,BankTransfer,07-01-2023,P10276,226500,,HDFC
SO230293,20239,AutoDebitEMI,07-01-2023,P10277,15900,LDC2193,Andhra Bank
SO230294,24598,BankTransfer,07-01-2023,P10278,231500,,Andhra Bank
SO230295,24109,DebitCard,07-01-2023,P10279,129426,,Axis
SO230296,18276,CreditCard,08-01-2023,P10280,23244.3,LDC2196,Axis
SO230297,18915,BankTransfer,08-01-2023,P10281,97250,,Andhra Bank
SO230298,23542,DebitCard,08-01-2023,P10282,116000,,HDFC
SO230299,19279,CreditCard,08-01-2023,P10283,18852,LDC2199,ICICI
SO230300,23830,BankTransferEMI,08-01-2023,P10284,33653.7,LDC2200,Canara Bank
SO230301,22273,CreditCard,08-01-2023,P10285,39891,LDC2201,HDFC
