SalesID,CustID,PaymentMethod,PaymentDate,PaymentID,PaymentAmount,LoanID,Bank Name
SO240101,27205,BankTransfer,01-01-2024,P20304,92125,,ICICI
SO240102,28217,Cash,01-01-2024,P20305,82499,,NetCash
SO240103,25364,UPI,01-01-2024,P20306,21300,LDE3003,HDFC
SO240104,27189,AutoDebitEMI,01-01-2024,P20307,91800,LDE3004,ICICI
SO240105,27675,BankTransferEMI,01-01-2024,P20308,16719.6,LDE3005,Andhra Bank
SO240106,26198,AutoDebitEMI,01-01-2024,P20309,14734.2,LDE3006,HDFC
SO240107,29567,UPI,01-01-2024,P20310,58602,LDE3007,Canara Bank
SO240108,30430,CreditCard,01-01-2024,P20311,21150,LDE3008,Canara Bank
SO240109,25671,BankTransfer,01-01-2024,P20312,80450,,ICICI
SO240110,27372,CreditCard,01-01-2024,P20313,34950,LDE3010,HDFC
SO240111,28304,UPI,01-01-2024,P20314,22050,LDE3011,HDFC
SO240112,29258,AutoDebitEMI,01-01-2024,P20315,32700,LDE3012,HDFC
SO240113,29376,BankTransfer,01-01-2024,P20316,206500,,Canara Bank
SO240114,29590,DebitCard,01-01-2024,P20317,53500,,ICICI
SO240115,25351,Cash,01-01-2024,P20318,69000,,NetCash
SO240116,27907,BankTransfer,01-01-2024,P20319,189340,,Axis
SO240117,26575,CreditCard,01-01-2024,P20320,34746.3,LDE3017,Canara Bank
SO240118,29502,DebitCard,01-01-2024,P20321,129738,,Canara Bank
SO240119,25767,BankTransfer,01-01-2024,P20322,78500,,HDFC
SO240120,26040,AutoDebitEMI,01-01-2024,P20323,21000,LDE3020,ICICI
SO240121,25504,DebitCard,01-01-2024,P20324,53000,,ICICI
SO240122,26430,BankTransferEMI,01-01-2024,P20325,40200,LDE3022,ICICI
SO240123,30676,BankTransferEMI,01-01-2024,P20326,32850,LDE3023,Axis
SO240124,28040,AutoDebitEMI,01-01-2024,P20327,39071.4,LDE3024,ICICI
SO240125,25068,UPI,01-01-2024,P20328,16719.6,LDE3025,HDFC
SO240126,29039,BankTransfer,01-01-2024,P20329,107500,,HDFC
SO240127,27173,BankTransferEMI,01-01-2024,P20330,21750,LDE3027,Axis
SO240128,28057,BankTransferEMI,02-01-2024,P20331,32250,LDE3028,Andhra Bank
SO240129,27786,CreditCard,02-01-2024,P20332,20400,LDE3029,Andhra Bank
SO240130,29970,UPI,02-01-2024,P20333,34500,LDE3030,HDFC
SO240131,29717,CreditCard,02-01-2024,P20334,17742,LDE3031,Andhra Bank
SO240132,26287,BankTransferEMI,02-01-2024,P20335,23244.3,LDE3032,Canara Bank
SO240133,25479,DebitCard,02-01-2024,P20336,71500,,Canara Bank
SO240134,26777,DebitCard,02-01-2024,P20337,226000,,Axis
SO240135,25672,BankTransfer,02-01-2024,P20338,72500,,Canara Bank
SO240136,26608,UPI,02-01-2024,P20339,24300,LDE3036,Axis
SO240137,25329,AutoDebitEMI,02-01-2024,P20340,59100,LDE3037,Canara Bank
SO240138,27791,CreditCard,02-01-2024,P20341,23100,LDE3038,HDFC
SO240139,29958,CreditCard,02-01-2024,P20342,36600,LDE3039,Axis
SO240140,27330,DebitCard,02-01-2024,P20343,69500,,Axis
SO240141,30412,BankTransfer,02-01-2024,P20344,181570,,Axis
SO240142,30191,AutoDebitEMI,02-01-2024,P20345,3173.1,LDE3042,Canara Bank
SO240143,28059,Cash,02-01-2024,P20346,68950,,NetCash
SO240144,29406,BankTransferEMI,02-01-2024,P20347,25662,LDE3044,HDFC
SO240145,30685,AutoDebitEMI,02-01-2024,P20348,22500,LDE3045,ICICI
SO240146,28148,AutoDebitEMI,02-01-2024,P20349,23100,LDE3046,Andhra Bank
SO240147,25269,Cash,02-01-2024,P20350,71750,,NetCash
SO240148,26551,AutoDebitEMI,02-01-2024,P20351,32850,LDE3048,Axis
SO240149,27443,Cash,02-01-2024,P20352,70000,,NetCash
SO240150,27900,AutoDebitEMI,02-01-2024,P20353,21750,LDE3050,HDFC
SO240151,26832,AutoDebitEMI,02-01-2024,P20354,58602,LDE3051,ICICI
SO240152,27739,UPI,02-01-2024,P20355,16350,LDE3052,Axis
SO240153,30451,BankTransfer,02-01-2024,P20356,55023,,Andhra Bank
SO240154,25727,CreditCard,02-01-2024,P20357,58452,LDE3054,Axis
