SalesDate,StockDate,SalesID,CustID,VehicleID,TerritoryID,SalesAmt,PaymentID,LoanID
01-01-2024,30-06-2023,SO240101,27205,875,7,94125,P20304,
01-01-2024,21-05-2023,SO240102,28217,884,13,83999,P20305,
01-01-2024,19-05-2023,SO240103,25364,995,7,73000,P20306,LDE3003
01-01-2024,29-05-2023,SO240104,27189,859,11,310000,P20307,LDE3004
01-01-2024,05-06-2023,SO240105,27675,891,4,56732,P20308,LDE3005
01-01-2024,17-05-2023,SO240106,26198,851,8,50114,P20309,LDE3006
01-01-2024,09-06-2023,SO240107,29567,935,13,197840,P20310,LDE3007
01-01-2024,28-09-2023,SO240108,30430,925,7,72000,P20311,LDE3008
01-01-2024,21-05-2023,SO240109,25671,909,12,82450,P20312,
01-01-2024,24-08-2023,SO240110,27372,901,8,119000,P20313,LDE3010
01-01-2024,11-06-2023,SO240111,28304,992,12,75000,P20314,LDE3011
01-01-2024,28-06-2023,SO240112,29258,1014,5,112000,P20315,LDE3012
01-01-2024,28-09-2023,SO240113,29376,865,7,210000,P20316,
01-01-2024,21-05-2023,SO240114,29590,945,8,54000,P20317,
01-01-2024,11-08-2023,SO240115,25351,993,1,71000,P20318,
01-01-2024,18-06-2023,SO240116,27907,936,4,192340,P20319,
01-01-2024,26-07-2023,SO240117,26575,843,9,118321,P20320,LDE3017
01-01-2024,12-08-2023,SO240118,29502,879,13,132738,P20321,
01-01-2024,01-10-2023,SO240119,25767,968,4,80000,P20322,
01-01-2024,25-06-2023,SO240120,26040,970,4,72000,P20323,LDE3020
01-01-2024,01-08-2023,SO240121,25504,945,6,54000,P20324,
01-01-2024,30-05-2023,SO240122,26430,847,10,137000,P20325,LDE3022
01-01-2024,02-07-2023,SO240123,30676,1014,8,112000,P20326,LDE3023
01-01-2024,22-05-2023,SO240124,28040,879,7,132738,P20327,LDE3024
01-01-2024,09-05-2023,SO240125,25068,891,5,56732,P20328,LDE3025
01-01-2024,16-08-2023,SO240126,29039,917,10,110000,P20329,
01-01-2024,24-07-2023,SO240127,27173,924,2,74000,P20330,LDE3027
02-01-2024,23-05-2023,SO240128,28057,910,5,110000,P20331,LDE3028
02-01-2024,23-10-2023,SO240129,27786,869,6,70000,P20332,LDE3029
02-01-2024,14-08-2023,SO240130,29970,961,7,118000,P20333,LDE3030
02-01-2024,21-09-2023,SO240131,29717,888,8,59640,P20334,LDE3031
02-01-2024,27-09-2023,SO240132,26287,904,13,79481,P20335,LDE3032
02-01-2024,18-05-2023,SO240133,25479,977,11,73500,P20336,
02-01-2024,12-08-2023,SO240134,26777,964,11,230000,P20337,
02-01-2024,11-06-2023,SO240135,25672,959,12,74000,P20338,
02-01-2024,17-07-2023,SO240136,26608,955,2,83000,P20339,LDE3036
02-01-2024,24-10-2023,SO240137,25329,856,2,200000,P20340,LDE3037
02-01-2024,10-09-2023,SO240138,27791,954,6,79000,P20341,LDE3038
02-01-2024,22-07-2023,SO240139,29958,903,11,125000,P20342,LDE3039
02-01-2024,09-05-2023,SO240140,27330,943,5,71000,P20343,
02-01-2024,20-10-2023,SO240141,30412,932,6,184570,P20344,
02-01-2024,20-06-2023,SO240142,30191,893,8,11077,P20345,LDE3042
02-01-2024,06-07-2023,SO240143,28059,927,5,70450,P20346,
02-01-2024,06-10-2023,SO240144,29406,922,9,87540,P20347,LDE3044
02-01-2024,20-06-2023,SO240145,30685,950,1,77000,P20348,LDE3045
02-01-2024,11-06-2023,SO240146,28148,951,1,79000,P20349,LDE3046
02-01-2024,31-05-2023,SO240147,25269,989,11,73250,P20350,
02-01-2024,05-08-2023,SO240148,26551,960,12,112000,P20351,LDE3048
02-01-2024,14-06-2023,SO240149,27443,980,4,71500,P20352,
02-01-2024,22-08-2023,SO240150,27900,924,1,74000,P20353,LDE3050
02-01-2024,28-05-2023,SO240151,26832,935,5,197840,P20354,LDE3051
02-01-2024,19-07-2023,SO240152,27739,944,4,55000,P20355,LDE3052
02-01-2024,04-06-2023,SO240153,30451,868,5,56023,P20356,
02-01-2024,22-05-2023,SO240154,25727,935,4,197840,P20357,LDE3054
02-01-2024,02-07-2023,SO240155,29762,1013,3,112000,P20358,
03-01-2024,02-10-2023,SO240156,27103,937,1,55000,P20359,LDE3056
03-01-2024,29-08-2023,SO240157,30121,923,13,94800,P20360,LDE3057
03-01-2024,28-07-2023,SO240158,27016,852,13,172000,P20361,
03-01-2024,27-06-2023,SO240159,27175,913,2,89000,P20362,
03-01-2024,13-06-2023,SO240160,30428,927,11,70450,P20363,
03-01-2024,14-09-2023,SO240161,27765,980,3,71500,P20364,LDE3061
03-01-2024,17-08-2023,SO240162,30797,886,3,62190,P20365,LDE3062
03-01-2024,25-05-2023,SO240163,30062,996,7,85000,P20366,LDE3063
03-01-2024,11-09-2023,SO240164,25360,860,10,150000,P20367,
03-01-2024,14-05-2023,SO240165,28044,932,1,184570,P20368,LDE3065
03-01-2024,08-08-2023,SO240166,28132,879,10,132738,P20369,LDE3066
03-01-2024,16-10-2023,SO240167,27796,873,3,56352,P20370,LDE3067
03-01-2024,23-07-2023,SO240168,29935,945,10,54000,P20371,LDE3068
03-01-2024,20-10-2023,SO240169,30310,957,9,127000,P20372,LDE3069
03-01-2024,02-10-2023,SO240170,29741,1002,8,91000,P20373,LDE3070
03-01-2024,10-10-2023,SO240171,28681,945,1,54000,P20374,
03-01-2024,12-09-2023,SO240172,25686,883,3,132426,P20375,LDE3072
03-01-2024,27-09-2023,SO240173,27018,944,13,55000,P20376,
03-01-2024,08-09-2023,SO240174,30916,1015,9,135000,P20377,
03-01-2024,16-09-2023,SO240175,26576,935,9,197840,P20378,LDE3075
03-01-2024,08-07-2023,SO240176,29337,938,4,64000,P20379,LDE3076
03-01-2024,15-10-2023,SO240177,26577,942,8,72000,P20380,
03-01-2024,29-09-2023,SO240178,26419,851,2,50114,P20381,
03-01-2024,29-07-2023,SO240179,25158,983,9,69470,P20382,
03-01-2024,03-06-2023,SO240180,26554,881,1,162445,P20383,LDE3080
03-01-2024,04-10-2023,SO240181,26035,925,11,72000,P20384,
03-01-2024,19-09-2023,SO240182,30587,981,1,68740,P20385,
03-01-2024,23-05-2023,SO240183,26081,842,4,94770,P20386,LDE3083
04-01-2024,23-07-2023,SO240184,27513,887,2,63640,P20387,LDE3084
04-01-2024,05-10-2023,SO240185,25229,877,5,110000,P20388,LDE3085
04-01-2024,12-08-2023,SO240186,27158,849,1,44304,P20389,
04-01-2024,17-07-2023,SO240187,27384,882,8,113165,P20390,
04-01-2024,01-11-2023,SO240188,25057,892,2,10077,P20391,
04-01-2024,17-05-2023,SO240189,26533,841,10,93144,P20392,
04-01-2024,04-08-2023,SO240190,26624,934,2,193000,P20393,LDE3090
04-01-2024,28-08-2023,SO240191,28088,941,6,68000,P20394,
04-01-2024,11-05-2023,SO240192,28669,1005,6,100000,P20395,LDE3092
04-01-2024,15-10-2023,SO240193,29468,994,13,69000,P20396,LDE3093
04-01-2024,13-10-2023,SO240194,29745,879,10,132738,P20397,
04-01-2024,13-08-2023,SO240195,30456,915,8,74000,P20398,
04-01-2024,24-09-2023,SO240196,28727,992,4,75000,P20399,LDE3096
04-01-2024,17-10-2023,SO240197,26945,842,5,94770,P20400,
04-01-2024,06-10-2023,SO240198,27865,843,4,118321,P20401,
04-01-2024,23-05-2023,SO240199,29912,907,2,92010,P20402,LDE3099
04-01-2024,08-08-2023,SO240200,25740,882,6,113165,P20403,LDE3100
04-01-2024,29-09-2023,SO240201,27788,939,11,80000,P20404,LDE3101
04-01-2024,08-05-2023,SO240202,26971,950,11,77000,P20405,
04-01-2024,23-09-2023,SO240203,25377,939,12,80000,P20406,LDE3103
04-01-2024,17-07-2023,SO240204,30371,952,12,82000,P20407,
04-01-2024,15-05-2023,SO240205,31047,880,3,139546,P20408,
04-01-2024,09-07-2023,SO240206,25812,953,12,77000,P20409,LDE3106
04-01-2024,12-09-2023,SO240207,28969,886,9,62190,P20410,
04-01-2024,26-09-2023,SO240208,25154,905,8,85000,P20411,
04-01-2024,11-10-2023,SO240209,30153,969,3,78000,P20412,LDE3109
04-01-2024,12-07-2023,SO240210,30513,890,4,74120,P20413,
04-01-2024,27-05-2023,SO240211,25445,895,2,125883,P20414,LDE3111
05-01-2024,06-07-2023,SO240212,26693,994,11,69000,P20415,
05-01-2024,10-10-2023,SO240213,28077,934,13,193000,P20416,LDE3113
05-01-2024,09-05-2023,SO240214,29788,958,4,70000,P20417,
05-01-2024,03-09-2023,SO240215,26111,959,1,74000,P20418,LDE3115
05-01-2024,13-10-2023,SO240216,26336,909,1,82450,P20419,LDE3116
05-01-2024,14-09-2023,SO240217,28517,966,8,127000,P20420,LDE3117
05-01-2024,09-10-2023,SO240218,30636,847,13,137000,P20421,LDE3118
05-01-2024,17-07-2023,SO240219,27360,956,11,119000,P20422,
05-01-2024,23-05-2023,SO240220,29268,937,9,55000,P20423,
05-01-2024,02-11-2023,SO240221,25904,910,2,110000,P20424,
05-01-2024,15-07-2023,SO240222,27400,981,4,68740,P20425,
05-01-2024,31-07-2023,SO240223,27632,842,11,94770,P20426,
05-01-2024,01-08-2023,SO240224,25188,971,9,76000,P20427,
05-01-2024,07-07-2023,SO240225,26874,843,10,118321,P20428,LDE3125
05-01-2024,03-08-2023,SO240226,29159,984,3,69450,P20429,LDE3126
05-01-2024,09-10-2023,SO240227,30722,974,10,78000,P20430,LDE3127
05-01-2024,12-10-2023,SO240228,27948,994,13,69000,P20431,LDE3128
05-01-2024,30-07-2023,SO240229,25822,1005,10,100000,P20432,LDE3129
05-01-2024,16-07-2023,SO240230,30433,872,3,53696,P20433,
05-01-2024,08-08-2023,SO240231,26976,857,2,285000,P20434,LDE3131
05-01-2024,06-06-2023,SO240232,27562,955,6,83000,P20435,LDE3132
05-01-2024,06-05-2023,SO240233,26661,879,1,132738,P20436,
05-01-2024,23-05-2023,SO240234,28113,959,2,74000,P20437,
05-01-2024,24-10-2023,SO240235,26782,876,3,98835,P20438,
05-01-2024,23-06-2023,SO240236,27826,947,1,113000,P20439,
05-01-2024,23-10-2023,SO240237,27554,854,1,270000,P20440,LDE3137
05-01-2024,29-05-2023,SO240238,29073,982,2,63840,P20441,LDE3138
05-01-2024,03-11-2023,SO240239,27985,842,5,94770,P20442,
06-01-2024,01-06-2023,SO240240,28715,935,3,197840,P20443,LDE3140
06-01-2024,22-09-2023,SO240241,28902,930,12,185400,P20444,LDE3141
06-01-2024,07-08-2023,SO240242,27919,881,4,162445,P20445,
06-01-2024,01-07-2023,SO240243,25244,935,12,197840,P20446,LDE3143
06-01-2024,13-09-2023,SO240244,27970,971,8,76000,P20447,LDE3144
06-01-2024,13-07-2023,SO240245,26774,856,7,200000,P20448,LDE3145
06-01-2024,27-07-2023,SO240246,26907,846,5,126650,P20449,LDE3146
06-01-2024,22-10-2023,SO240247,26855,876,1,98835,P20450,
06-01-2024,02-10-2023,SO240248,28547,960,7,112000,P20451,
06-01-2024,04-08-2023,SO240249,25033,853,2,185000,P20452,
06-01-2024,03-09-2023,SO240250,27223,973,9,82000,P20453,
06-01-2024,03-11-2023,SO240251,29705,983,8,69470,P20454,
06-01-2024,27-08-2023,SO240252,29259,889,12,67440,P20455,LDE3152
06-01-2024,23-08-2023,SO240253,25782,877,6,110000,P20456,
06-01-2024,19-08-2023,SO240254,26976,1004,2,96000,P20457,LDE3154
06-01-2024,03-10-2023,SO240255,26160,916,11,71420,P20458,LDE3155
06-01-2024,02-11-2023,SO240256,27739,873,4,56352,P20459,LDE3156
06-01-2024,19-05-2023,SO240257,25081,934,1,193000,P20460,
06-01-2024,29-07-2023,SO240258,26330,955,7,83000,P20461,
06-01-2024,21-07-2023,SO240259,27669,845,6,132664,P20462,
06-01-2024,07-05-2023,SO240260,26842,899,9,154999,P20463,LDE3160
06-01-2024,01-08-2023,SO240261,30458,998,13,69470,P20464,LDE3161
06-01-2024,25-08-2023,SO240262,30672,1005,11,100000,P20465,LDE3162
06-01-2024,16-07-2023,SO240263,30918,877,12,110000,P20466,
06-01-2024,04-09-2023,SO240264,27971,949,13,184000,P20467,LDE3164
06-01-2024,16-07-2023,SO240265,28213,869,8,70000,P20468,
06-01-2024,20-07-2023,SO240266,29684,841,7,93144,P20469,LDE3166
06-01-2024,18-10-2023,SO240267,28605,942,3,72000,P20470,LDE3167
07-01-2024,20-09-2023,SO240268,28911,858,9,235000,P20471,
07-01-2024,08-08-2023,SO240269,30961,995,1,73000,P20472,
07-01-2024,23-06-2023,SO240270,28492,860,7,150000,P20473,
07-01-2024,16-09-2023,SO240271,26147,898,10,69999,P20474,LDE3171
07-01-2024,28-09-2023,SO240272,30704,926,3,71050,P20475,
07-01-2024,11-08-2023,SO240273,27954,964,8,230000,P20476,LDE3173
07-01-2024,13-09-2023,SO240274,30204,891,5,56732,P20477,LDE3174
07-01-2024,15-05-2023,SO240275,25391,951,7,79000,P20478,LDE3175
07-01-2024,11-06-2023,SO240276,30885,918,10,135470,P20479,LDE3176
07-01-2024,23-06-2023,SO240277,25157,878,5,107904,P20480,
07-01-2024,10-09-2023,SO240278,28446,860,3,150000,P20481,LDE3178
07-01-2024,24-06-2023,SO240279,27549,851,5,50114,P20482,
07-01-2024,29-10-2023,SO240280,26488,1008,10,99520,P20483,
07-01-2024,16-08-2023,SO240281,30225,875,12,94125,P20484,LDE3181
07-01-2024,29-06-2023,SO240282,27804,905,1,85000,P20485,
07-01-2024,08-08-2023,SO240283,26979,860,3,150000,P20486,
07-01-2024,09-06-2023,SO240284,29547,916,11,71420,P20487,
07-01-2024,12-08-2023,SO240285,28477,905,6,85000,P20488,LDE3185
07-01-2024,23-07-2023,SO240286,28960,1012,9,99990,P20489,LDE3186
