VehicleID,VehModelID,Model,Manufacturer,VehDetails,Color,EngineCapacity,FuelType,ManufYear,Cost
841,8,Vespa Notte 125,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Red,125,Petrol,2023,85692.48
842,8,Vespa Urban Club 125,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Blue,125,Petrol,2022,86240.7
843,8,Vespa SXL 125,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Grey,125,Petrol,2024,108855.32
844,8,Vespa VXL 125,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Red,125,Petrol,2022,101937.84
845,8,Vespa SXL 150,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Grey,150,Petrol,2023,122050.88
846,8,Vespa VXL 150,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Black,150,Petrol,2022,116518
847,8,Vespa Elegante 150,Piaggio,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Red,150,Petrol,2022,124670
848,9,TVS XL Comfort,TVS Motor Company,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Blue,97.9,Petrol,2023,41504.88
849,9,TVS XL Heavy Duty,TVS Motor Company,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Black,99.9,Petrol,2024,40759.68
850,9,TVS XLHeavy Duty i-Touchstart,TVS Motor Company,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Black,99.9,Petrol,2024,45230.88
851,9,TVS XL Comfort i-Touchstart,TVS Motor Company,"Runs on petrol, mileage 35-45kmph,ideal for city commuting and easy handling",Grey,99.9,Petrol,2024,45603.74
852,10,KTM duke 125,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Red,125,Petrol,2024,153080
853,10,KTM duke 200,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,20,Petrol,2021,166500
854,10,KTM duke 390,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Black,390,Petrol,2023,240300
855,10,KTM RC 125,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,125,Petrol,2024,158400
856,10,KTM RC 200,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Black,200,Petrol,2022,178000
857,10,KTM RC 300,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Grey,300,Petrol,2023,253650
858,10,KTM  Adventure 250,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,250,Petrol,2022,211500
859,10,KTM  Adventure 390,KTM AG,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,390,Petrol,2024,272800
860,11,Royal Enfield bullet 350,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Grey,350,Petrol,2023,138000
861,11,Royal Enfield bullet 350 ES,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,350,Petrol,2021,140800
862,11,Royal Enfield classic 350,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Black,350,Petrol,2023,158400
863,11,Royal Enfield classic 500,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Black,500,Petrol,2022,180000
864,11,Royal Enfield Meteor 350,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Black,350,Petrol,2022,167200
865,11,Royal Enfield  Himalayan,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Grey,400,Petrol,2022,186900
866,11,Royal Enfield Interceptor 650 ,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,650,Petrol,2024,249200
867,11,Royal Enfield Continental GT 650,Eicher Enfield,"Runs on petrol, mileage 25 - 35 kmph,ideal for city commuting and easy handling",Blue,650,Petrol,2023,258100
